cpu_percent,cpu_freq,ram_percent,ram_uso,cpu_ociosidade_dias,ram_livre,dataHora,maquinaId
31.4,2501.0,88.7,7469133824,0,961744896,2025-04-09 21:35:49,3
13.2,2501.0,88.6,7462010880,0,960786432,2025-04-09 21:35:50,3
10.2,2501.0,88.6,7463636992,0,959025152,2025-04-09 21:35:51,3
27.2,2501.0,88.6,7460569088,0,962154496,2025-04-09 21:35:53,3
10.2,2501.0,88.6,7458553856,0,964108288,2025-04-09 21:35:54,3
8.4,2500.0,88.6,7455252480,0,967409664,2025-04-09 21:35:55,3
13.3,2501.0,88.5,7457419264,0,965959680,2025-04-09 21:35:56,3
7.5,2501.0,88.5,7455735808,0,966787072,2025-04-09 21:35:57,3
14.9,2501.0,88.5,7449976832,0,972685312,2025-04-09 21:35:58,3
12.2,2501.0,88.5,7451877376,0,971505664,2025-04-09 21:35:59,3
