ram_uso,ram_percent,ram_livre,rede_sent,rede_recv,cpu_freq,cpu_ociosidade_dias,cpu_percent,dataHora,maquinaId
7899774976,93.9,515395584,5261988,5089027,2501.0,3,99.7,2025-04-20 17:56:54,4
7902150656,93.8,520990720,5262301,5089108,2501.0,3,54.8,2025-04-20 17:56:55,4
7900364800,93.8,522633216,5262491,5089157,2501.0,3,55.7,2025-04-20 17:56:56,4
7892058112,93.7,531365888,5262859,5089214,2501.0,3,47.1,2025-04-20 17:56:58,4
7885750272,93.6,539971584,5263124,5089275,2501.0,3,49.3,2025-04-20 17:56:59,4
7885950976,93.6,537001984,5263483,5089327,2501.0,3,53.5,2025-04-20 17:57:00,4
7885295616,93.6,537399296,5263808,5089374,2501.0,3,46.9,2025-04-20 17:57:01,4
7887085568,93.6,536256512,5264127,5089449,2501.0,3,44.9,2025-04-20 17:57:03,4
7889207296,93.6,536399872,5264447,5089509,2501.0,3,47.4,2025-04-20 17:57:04,4
7889272832,93.7,534249472,5264764,5089566,2501.0,3,55.9,2025-04-20 17:57:06,4
