ram_livre,rede_recv,ram_uso,cpu_ociosidade_dias,cpu_percent,rede_sent,ram_percent,cpu_freq,dataHora,maquinaId
756678656,441122,7665885184,4,29.6,152491,91.0,2501.0,2025-04-21 15:11:07,4
746184704,441404,7676477440,4,16.6,152539,91.1,2501.0,2025-04-21 15:11:09,4
767610880,441484,7651332096,4,24.5,152565,90.8,2501.0,2025-04-21 15:11:11,4
839020544,441498,7582920704,4,12.7,152579,90.0,2501.0,2025-04-21 15:11:13,4
841490432,441790,7581171712,4,9.7,152628,90.0,2501.0,2025-04-21 15:11:15,4
865722368,441933,7555891200,4,10.3,152656,89.7,2501.0,2025-04-21 15:11:17,4
878362624,441949,7544832000,4,9.0,152670,89.6,2501.0,2025-04-21 15:11:18,4
871571456,441960,7541202944,4,19.7,152680,89.5,2501.0,2025-04-21 15:11:20,4
879693824,442362,7542915072,4,8.9,152741,89.5,2501.0,2025-04-21 15:11:22,4
875606016,442377,7547035648,4,8.8,152757,89.6,2501.0,2025-04-21 15:11:24,4
