cpu_freq,ram_uso,rede_sent,cpu_ociosidade_dias,rede_recv,ram_percent,ram_livre,cpu_percent,dataHora,maquinaId
2501.0,7157477376,221327,4,480773,85.0,1265180672,15.8,2025-04-21 15:45:42,5
800.0,7155695616,221340,4,480785,84.9,1274748928,8.2,2025-04-21 15:45:44,5
2501.0,7153569792,221365,4,480803,85.0,1265639424,19.0,2025-04-21 15:45:46,5
2501.0,7285125120,221381,4,480822,86.1,1171415040,82.5,2025-04-21 15:45:48,5
2501.0,7297105920,221399,4,480839,86.7,1120169984,74.5,2025-04-21 15:45:50,5
2501.0,7332409344,221513,4,481000,86.8,1108299776,72.7,2025-04-21 15:45:52,5
2501.0,7385530368,221558,4,481067,87.0,1098526720,67.0,2025-04-21 15:45:55,5
2501.0,7347896320,221591,4,481087,87.3,1071374336,35.7,2025-04-21 15:45:57,5
2501.0,7332257792,221631,4,481132,87.0,1091584000,32.3,2025-04-21 15:45:59,5
2501.0,7358468096,221644,4,481146,87.4,1060478976,64.6,2025-04-21 15:46:01,5
2501.0,7370481664,221674,4,481187,86.7,1117908992,33.2,2025-04-21 15:46:03,5
2501.0,7301976064,221685,4,481198,86.7,1120686080,12.4,2025-04-21 15:46:05,5
2500.0,7294959616,221700,4,481213,86.6,1127714816,6.5,2025-04-21 15:46:07,5
2501.0,7297363968,221712,4,481225,86.6,1125302272,4.6,2025-04-21 15:46:08,5
2501.0,7283961856,221739,4,481258,86.5,1137430528,15.3,2025-04-21 15:46:11,5
2501.0,7290560512,221757,4,481277,86.6,1132101632,16.4,2025-04-21 15:46:13,5
2501.0,7290552320,221772,4,481295,86.6,1130545152,27.2,2025-04-21 15:46:14,5
2501.0,7305830400,221786,4,481311,86.7,1116831744,14.2,2025-04-21 15:46:16,5
2501.0,7299637248,221798,4,481323,86.7,1123033088,5.8,2025-04-21 15:46:18,5
2501.0,7294324736,221840,4,481339,86.6,1126670336,3.8,2025-04-21 15:46:20,5
1400.0,7278239744,221854,4,481356,86.4,1144565760,13.6,2025-04-21 15:46:21,5
2501.0,7275520000,221865,4,481368,86.4,1147142144,5.1,2025-04-21 15:46:23,5
2500.0,7274524672,221877,4,481383,86.4,1148157952,5.3,2025-04-21 15:46:25,5
2500.0,7273676800,221891,4,481399,86.4,1149317120,4.7,2025-04-21 15:46:27,5
1400.0,7283060736,221912,4,481417,86.5,1139601408,4.8,2025-04-21 15:46:29,5
1400.0,7277391872,221925,4,481430,86.4,1145270272,4.1,2025-04-21 15:46:30,5
2501.0,7277039616,221935,4,481441,86.4,1145622528,1.7,2025-04-21 15:46:32,5
2501.0,7277404160,221947,4,481465,86.4,1145286656,4.8,2025-04-21 15:46:34,5
2501.0,7223853056,221959,4,481479,85.8,1199849472,7.4,2025-04-21 15:46:36,5
1400.0,7139332096,221970,4,481493,84.7,1284911104,12.5,2025-04-21 15:46:38,5
2501.0,7142531072,221984,4,481507,84.8,1279152128,5.4,2025-04-21 15:46:39,5
2501.0,7176384512,221994,4,481521,85.2,1248464896,20.6,2025-04-21 15:46:41,5
2501.0,7193169920,222010,4,481537,85.5,1225060352,31.6,2025-04-21 15:46:43,5
2501.0,7181029376,222032,4,481562,85.3,1241632768,13.1,2025-04-21 15:46:45,5
2501.0,7177625600,222046,4,481576,85.1,1253171200,6.4,2025-04-21 15:46:47,5
1400.0,7169536000,222060,4,481592,85.1,1253126144,7.1,2025-04-21 15:46:49,5
2501.0,7130427392,222075,4,481608,84.7,1292136448,6.8,2025-04-21 15:46:50,5
2501.0,7133798400,222089,4,481621,84.7,1288765440,5.9,2025-04-21 15:46:52,5
2000.0,7135551488,222100,4,481633,84.7,1287110656,4.1,2025-04-21 15:46:54,5
2501.0,7135911936,222111,4,481644,84.7,1286750208,6.4,2025-04-21 15:46:56,5
2501.0,7138635776,222125,4,481660,84.8,1284026368,3.1,2025-04-21 15:46:58,5
2501.0,7141408768,222137,4,481672,84.8,1281253376,4.2,2025-04-21 15:46:59,5
2501.0,7142838272,222150,4,481686,84.8,1280147456,10.7,2025-04-21 15:47:01,5
2501.0,7123214336,222164,4,481701,84.6,1299881984,7.6,2025-04-21 15:47:03,5
2501.0,7120900096,222175,4,481714,84.5,1301762048,2.6,2025-04-21 15:47:05,5
2501.0,7122710528,222187,4,481728,84.6,1299951616,6.5,2025-04-21 15:47:06,5
2501.0,7122509824,222199,4,481741,84.6,1300152320,10.8,2025-04-21 15:47:08,5
1400.0,7114768384,222215,4,481757,84.4,1310511104,11.5,2025-04-21 15:47:10,5
2501.0,7112941568,222225,4,481768,84.4,1310306304,6.8,2025-04-21 15:47:12,5
2501.0,7108849664,222236,4,481779,84.4,1314750464,5.8,2025-04-21 15:47:14,5
2501.0,7111036928,222250,4,481795,84.4,1311969280,3.2,2025-04-21 15:47:16,5
2501.0,7093653504,222261,4,481806,84.2,1329008640,10.0,2025-04-21 15:47:17,5
2501.0,7094378496,222273,4,481817,84.2,1328455680,14.2,2025-04-21 15:47:19,5
2501.0,7089647616,222287,4,481833,84.2,1333014528,10.5,2025-04-21 15:47:21,5
2500.0,7087546368,222300,4,481848,84.1,1335447552,13.5,2025-04-21 15:47:23,5
2501.0,7088730112,222312,4,481860,84.2,1333932032,9.5,2025-04-21 15:47:25,5
2501.0,7089319936,222325,4,481878,84.2,1333997568,3.9,2025-04-21 15:47:26,5
2501.0,7090532352,222338,4,481889,84.2,1332125696,7.1,2025-04-21 15:47:28,5
2501.0,7089164288,222358,4,481904,84.2,1333428224,4.3,2025-04-21 15:47:30,5
2501.0,7090184192,222371,4,481916,84.2,1332477952,4.1,2025-04-21 15:47:32,5
2501.0,7091695616,222384,4,481930,84.2,1330966528,5.4,2025-04-21 15:47:33,5
2500.0,7093166080,222396,4,481942,84.2,1329496064,7.1,2025-04-21 15:47:35,5
2501.0,7092322304,222406,4,481954,84.2,1330130944,4.3,2025-04-21 15:47:37,5
2501.0,7096303616,222432,4,481967,84.3,1326219264,2.2,2025-04-21 15:47:39,5
2501.0,7092518912,222464,4,481984,84.2,1330143232,5.2,2025-04-21 15:47:41,5
1000.0,7095345152,222480,4,481999,84.2,1328345088,3.2,2025-04-21 15:47:42,5
2501.0,7087677440,222494,4,482012,84.2,1334984704,14.3,2025-04-21 15:47:44,5
2501.0,7104544768,222553,4,482067,84.4,1318039552,11.2,2025-04-21 15:47:46,5
1400.0,7092981760,222584,4,482092,84.2,1330610176,33.8,2025-04-21 15:47:48,5
2501.0,7092453376,222603,4,482114,84.2,1330208768,8.4,2025-04-21 15:47:50,5
2501.0,7091208192,222626,4,482141,84.2,1331453952,3.3,2025-04-21 15:47:51,5
2501.0,7088136192,222638,4,482153,84.2,1334525952,8.5,2025-04-21 15:47:53,5
1400.0,7088779264,222648,4,482163,84.2,1334878208,8.1,2025-04-21 15:47:55,5
1600.0,7093874688,222663,4,482180,84.2,1328787456,6.2,2025-04-21 15:47:57,5
1800.0,7094087680,222677,4,482194,84.2,1328390144,5.5,2025-04-21 15:47:59,5
2501.0,7097577472,222689,4,482208,84.3,1324740608,13.7,2025-04-21 15:48:00,5
1600.0,7101771776,222702,4,482221,84.3,1320628224,4.2,2025-04-21 15:48:02,5
2000.0,7100375040,222714,4,482233,84.3,1322487808,5.3,2025-04-21 15:48:04,5
2500.0,7101091840,222725,4,482245,84.3,1321570304,6.5,2025-04-21 15:48:06,5
2501.0,7099559936,222737,4,482257,84.3,1323323392,3.8,2025-04-21 15:48:08,5
2501.0,7099105280,222751,4,482272,84.3,1323556864,4.3,2025-04-21 15:48:09,5
2501.0,7137067008,222763,4,482283,84.7,1284632576,11.7,2025-04-21 15:48:11,5
2000.0,7141105664,222775,4,482295,84.8,1281556480,3.7,2025-04-21 15:48:13,5
2500.0,7142031360,222789,4,482310,84.8,1280630784,9.6,2025-04-21 15:48:15,5
2501.0,7141924864,222800,4,482322,84.8,1280737280,4.7,2025-04-21 15:48:16,5
1400.0,7130640384,222812,4,482335,84.7,1292021760,8.0,2025-04-21 15:48:18,5
2501.0,7139610624,222853,4,482349,84.8,1283051520,7.2,2025-04-21 15:48:20,5
2501.0,7133958144,222864,4,482363,84.7,1288704000,3.5,2025-04-21 15:48:22,5
2501.0,7131619328,222878,4,482377,84.7,1291042816,10.1,2025-04-21 15:48:24,5
2501.0,7128494080,222889,4,482388,84.6,1294184448,12.8,2025-04-21 15:48:25,5
2501.0,7132717056,222907,4,482404,84.7,1288224768,11.7,2025-04-21 15:48:27,5
1400.0,7135674368,222930,4,482435,84.7,1287446528,11.3,2025-04-21 15:48:29,5
2501.0,7136481280,222943,4,482450,84.7,1286176768,3.9,2025-04-21 15:48:31,5
2501.0,7136452608,222958,4,482468,84.7,1286209536,7.1,2025-04-21 15:48:33,5
2501.0,7133888512,222970,4,482480,84.7,1288773632,5.6,2025-04-21 15:48:34,5
2500.0,7135555584,222982,4,482494,84.7,1287217152,8.7,2025-04-21 15:48:36,5
2000.0,7138115584,223000,4,482527,84.8,1283948544,5.7,2025-04-21 15:48:38,5
2501.0,7142072320,223011,4,482539,84.8,1280589824,4.5,2025-04-21 15:48:40,5
2501.0,7196327936,223043,4,482576,85.5,1223421952,18.4,2025-04-21 15:48:42,5
2501.0,7253176320,223068,4,482608,86.1,1174794240,34.6,2025-04-21 15:48:43,5
