ram_percent,ram_uso,cpu_ociosidade_dias,rede_sent,rede_recv,cpu_freq,cpu_percent,ram_livre,dataHora,maquinaId
67.8,11425759232,121,1482601,807238,1700.0,7.6,5421973504,2025-04-21 22:23:34,9
67.9,11433160704,121,1482615,807255,1700.0,6.3,5413351424,2025-04-21 22:23:35,9
67.9,11440185344,121,1482631,807272,1700.0,9.8,5407682560,2025-04-21 22:23:37,9
67.9,11437428736,121,1482642,807326,1700.0,10.5,5411336192,2025-04-21 22:23:39,9
67.6,11394113536,121,1482656,807413,1700.0,10.4,5454688256,2025-04-21 22:23:42,9
67.5,11376472064,121,1482665,807509,1700.0,12.7,5471690752,2025-04-21 22:23:44,9
67.1,11310469120,121,1482726,807539,1700.0,9.9,5537325056,2025-04-21 22:23:45,9
67.2,11326840832,121,1482744,807567,1700.0,8.6,5521272832,2025-04-21 22:23:47,9
67.2,11315523584,121,1482757,807652,1700.0,8.6,5531934720,2025-04-21 22:23:49,9
67.2,11318132736,121,1482772,807742,1700.0,13.7,5529452544,2025-04-21 22:23:51,9
67.1,11302326272,121,1482794,807768,1700.0,12.4,5539569664,2025-04-21 22:23:54,9
67.1,11312312320,121,1482803,807804,1700.0,9.3,5536428032,2025-04-21 22:23:56,9
67.1,11311140864,121,1482820,807822,1700.0,6.9,5535612928,2025-04-21 22:23:58,9
67.1,11316199424,121,1482842,807844,1700.0,8.4,5530595328,2025-04-21 22:24:00,9
67.2,11315605504,121,1482860,807886,1700.0,10.7,5534601216,2025-04-21 22:24:02,9
67.1,11308843008,121,1482885,807993,1700.0,9.2,5538590720,2025-04-21 22:24:04,9
67.2,11319848960,121,1482902,808107,1700.0,10.4,5529370624,2025-04-21 22:24:06,9
67.2,11313610752,121,1482913,808182,1700.0,7.0,5535248384,2025-04-21 22:24:07,9
67.1,11312304128,121,1482930,808290,1700.0,11.3,5535248384,2025-04-21 22:24:09,9
67.2,11321823232,121,1482992,808360,1700.0,11.8,5525004288,2025-04-21 22:24:11,9
67.1,11310616576,121,1483016,808403,1700.0,9.5,5537267712,2025-04-21 22:24:13,9
67.2,11319472128,121,1483031,808474,1700.0,8.1,5529063424,2025-04-21 22:24:15,9
67.1,11313143808,121,1483054,808590,1700.0,6.7,5534728192,2025-04-21 22:24:17,9
67.1,11309293568,121,1483066,808670,1700.0,7.5,5535821824,2025-04-21 22:24:19,9
67.2,11316244480,121,1483078,808685,1700.0,8.5,5531680768,2025-04-21 22:24:21,9
67.1,11312717824,121,1483095,808702,1700.0,10.9,5529153536,2025-04-21 22:24:23,9
67.2,11318288384,121,1483106,808714,1700.0,6.8,5529583616,2025-04-21 22:24:25,9
67.1,11313209344,121,1483139,808774,1700.0,7.8,5533560832,2025-04-21 22:24:26,9
67.2,11320463360,121,1483150,808789,1700.0,10.1,5530128384,2025-04-21 22:24:28,9
67.1,11306856448,121,1483163,808804,1700.0,7.1,5541318656,2025-04-21 22:24:30,9
67.1,11312914432,121,1483184,808828,1700.0,9.3,5534842880,2025-04-21 22:24:32,9
67.1,11309588480,121,1483201,808929,1700.0,8.7,5537943552,2025-04-21 22:24:34,9
67.2,11320078336,121,1483211,808948,1700.0,10.7,5527855104,2025-04-21 22:24:36,9
67.1,11305070592,121,1483226,808965,1700.0,10.1,5542604800,2025-04-21 22:24:38,9
