cpu_percent,cpu_freq,ram_percent,cpu_ociosidade_dias,ram_uso,rede_recv,ram_livre,rede_sent,dataHora,maquinaId
15.6,1700.0,78.7,153,13256404992,20529,3592155136,35648,2025-04-24 17:28:08,4
8.1,1700.0,78.6,153,13247410176,20554,3602989056,35665,2025-04-24 17:28:09,4
16.3,1700.0,78.6,153,13234982912,20582,3612848128,35677,2025-04-24 17:28:11,4
8.5,1700.0,78.5,153,13242667008,20600,3597643776,35689,2025-04-24 17:28:12,4
20.3,1700.0,79.0,153,13309054976,20634,3541372928,35704,2025-04-24 17:28:13,4
15.3,1700.0,79.2,153,13337214976,20733,3510763520,35795,2025-04-24 17:28:14,4
14.3,1700.0,79.3,153,13366816768,20766,3481464832,35811,2025-04-24 17:28:15,4
13.8,1457.0,79.3,153,13360222208,20791,3487965184,35822,2025-04-24 17:28:16,4
13.7,1700.0,79.2,153,13343080448,20808,3506974720,35835,2025-04-24 17:28:18,4
10.5,1457.0,79.1,153,13334196224,20811,3514302464,35838,2025-04-24 17:28:19,4
17.3,1457.0,79.1,153,13335760896,20828,3513573376,35846,2025-04-24 17:28:21,4
21.7,1700.0,79.3,153,13351731200,20852,3485851648,35865,2025-04-24 17:28:22,4
15.1,1700.0,79.3,153,13339717632,20900,3501797376,35900,2025-04-24 17:28:23,4
16.8,1457.0,79.1,153,13320007680,20947,3528179712,35927,2025-04-24 17:28:25,4
12.2,1700.0,79.0,153,13313515520,21019,3525873664,35982,2025-04-24 17:28:27,4
13.5,1700.0,79.1,153,13320597504,21054,3527507968,35997,2025-04-24 17:28:28,4
19.2,1457.0,79.1,153,13322235904,21118,3527802880,36028,2025-04-24 17:28:30,4
25.5,1700.0,79.0,153,13307166720,21132,3538886656,36031,2025-04-24 17:28:31,4
18.6,1700.0,79.2,153,13336080384,21157,3511201792,36048,2025-04-24 17:28:33,4
19.1,1700.0,79.2,153,13343821824,21188,3504889856,36066,2025-04-24 17:28:34,4
12.7,1700.0,79.1,153,13332525056,21199,3515428864,36070,2025-04-24 17:28:35,4
17.5,1700.0,79.2,153,13336469504,21208,3511472128,36071,2025-04-24 17:28:37,4
19.3,1457.0,79.1,153,13331521536,21215,3517497344,36078,2025-04-24 17:28:38,4
8.7,1700.0,79.0,153,13318762496,21248,3539398656,36094,2025-04-24 17:28:39,4
29.8,1700.0,79.7,153,13427417088,21263,3416031232,36099,2025-04-24 17:28:41,4
20.5,1700.0,79.7,153,13442797568,21290,3403026432,36114,2025-04-24 17:28:43,4
20.4,1457.0,79.8,153,13442719744,21324,3405217792,36130,2025-04-24 17:28:44,4
19.0,1700.0,79.8,153,13443014656,21335,3405336576,36136,2025-04-24 17:28:46,4
21.4,1700.0,79.5,153,13398036480,21339,3449917440,36139,2025-04-24 17:28:47,4
19.5,1700.0,79.5,153,13393301504,21339,3461246976,36139,2025-04-24 17:28:49,4
25.0,1700.0,79.5,153,13391228928,21344,3457134592,36144,2025-04-24 17:28:51,4
22.4,1457.0,79.5,153,13400834048,21364,3447693312,36160,2025-04-24 17:28:53,4
18.8,1457.0,79.5,153,13386215424,21367,3461402624,36163,2025-04-24 17:28:54,4
18.3,1700.0,79.5,153,13392502784,21369,3455856640,36164,2025-04-24 17:28:56,4
23.6,1700.0,79.5,153,13397078016,21372,3451518976,36170,2025-04-24 17:28:57,4
24.0,1457.0,79.6,153,13418266624,21466,3429888000,36249,2025-04-24 17:28:59,4
22.3,1700.0,80.1,153,13504176128,21554,3345813504,36315,2025-04-24 17:29:01,4
22.5,1457.0,80.0,153,13473865728,21621,3374247936,36349,2025-04-24 17:29:02,4
18.0,1700.0,80.0,153,13472157696,21652,3373748224,36359,2025-04-24 17:29:04,4
21.7,1700.0,80.1,153,13487218688,21683,3361423360,36380,2025-04-24 17:29:06,4
22.6,1700.0,80.1,153,13488189440,21811,3367915520,36518,2025-04-24 17:29:08,4
21.2,1457.0,80.0,153,13478678528,21812,3372150784,36519,2025-04-24 17:29:10,4
22.9,1700.0,80.0,153,13475635200,21812,3372281856,36521,2025-04-24 17:29:12,4
18.4,1457.0,80.0,153,13477584896,21815,3370127360,36522,2025-04-24 17:29:13,4
16.8,1700.0,80.0,153,13483270144,21823,3364413440,36529,2025-04-24 17:29:15,4
23.3,1457.0,80.1,153,13487636480,21831,3360292864,36537,2025-04-24 17:29:16,4
26.3,1700.0,80.0,153,13477244928,21832,3387392000,36537,2025-04-24 17:29:18,4
