cpu_ociosidade_dias,ram_percent,rede_sent,ram_uso,ram_livre,cpu_percent,cpu_freq,rede_recv,dataHora,maquinaId
8,70.8,198613,5961375744,2461360128,9.8,2501.0,388378,2025-04-24 19:10:45,6
8,70.7,198627,5956263936,2466414592,9.3,2501.0,388414,2025-04-24 19:10:46,6
8,70.8,198653,5965398016,2456809472,8.5,2501.0,388457,2025-04-24 19:10:47,6
8,70.8,198669,5965750272,2452631552,8.8,2501.0,388479,2025-04-24 19:10:49,6
8,70.8,198686,5961633792,2461028352,15.8,2501.0,388513,2025-04-24 19:10:50,6
8,70.9,198700,5965946880,2456760320,9.3,2501.0,388538,2025-04-24 19:10:51,6
8,70.8,198713,5956370432,2466066432,9.9,2501.0,388572,2025-04-24 19:10:52,6
8,70.8,198729,5964984320,2457677824,8.4,2501.0,388596,2025-04-24 19:10:53,6
8,70.8,198739,5962231808,2460524544,12.3,2501.0,388617,2025-04-24 19:10:54,6
8,70.7,198753,5954797568,2467942400,9.3,2501.0,388651,2025-04-24 19:10:55,6
8,70.8,198765,5961986048,2460676096,7.2,2501.0,388673,2025-04-24 19:10:57,6
8,70.9,198778,5962887168,2459828224,11.6,2501.0,388696,2025-04-24 19:10:58,6
8,70.8,198799,5965225984,2457395200,4.8,2501.0,388735,2025-04-24 19:10:59,6
8,70.8,198815,5965635584,2457051136,8.8,2501.0,388768,2025-04-24 19:11:00,6
8,70.8,198829,5959540736,2462937088,5.1,2501.0,388802,2025-04-24 19:11:01,6
8,70.8,198831,5961355264,2461306880,5.8,2501.0,388807,2025-04-24 19:11:02,6
8,70.8,198836,5964378112,2458365952,18.0,2501.0,388820,2025-04-24 19:11:04,6
8,70.7,198845,5954965504,2469367808,7.8,2501.0,388840,2025-04-24 19:11:05,6
8,70.3,198853,5917855744,2504806400,6.5,2501.0,388862,2025-04-24 19:11:06,6
8,70.2,198864,5909082112,2509762560,8.8,2501.0,388882,2025-04-24 19:11:07,6
8,70.3,198879,5919977472,2502684672,16.0,2501.0,388902,2025-04-24 19:11:08,6
8,70.3,198886,5931528192,2491277312,7.6,2501.0,388915,2025-04-24 19:11:09,6
8,70.4,198892,5929324544,2493419520,7.6,2501.0,388934,2025-04-24 19:11:10,6
8,70.4,198909,5926080512,2496380928,12.2,2501.0,388962,2025-04-24 19:11:12,6
8,70.4,198918,5931036672,2490523648,5.8,2501.0,388985,2025-04-24 19:11:13,6
8,70.5,198925,5933203456,2489540608,7.2,2501.0,389003,2025-04-24 19:11:14,6
8,70.3,198931,5922529280,2499395584,9.9,2501.0,389022,2025-04-24 19:11:15,6
8,70.5,198938,5936435200,2486390784,6.8,2501.0,389032,2025-04-24 19:11:16,6
8,70.4,198956,5932163072,2490499072,21.8,2501.0,389067,2025-04-24 19:11:17,6
8,70.5,198986,5933625344,2488979456,8.7,2501.0,389113,2025-04-24 19:11:18,6
8,70.2,199001,5912010752,2510139392,10.8,2501.0,389149,2025-04-24 19:11:20,6
8,70.2,199015,5914198016,2508288000,8.2,2501.0,389173,2025-04-24 19:11:21,6
8,70.2,199022,5911064576,2511618048,6.5,2501.0,389189,2025-04-24 19:11:22,6
8,70.2,199045,5913784320,2508877824,6.6,2501.0,389238,2025-04-24 19:11:23,6
8,71.3,199066,6007951360,2415038464,39.5,2501.0,389286,2025-04-24 19:11:24,6
8,71.8,199110,6044459008,2371350528,68.8,2501.0,389375,2025-04-24 19:11:26,6
8,71.8,199151,6047252480,2375360512,43.2,2501.0,389455,2025-04-24 19:11:28,6
8,71.8,199176,6048522240,2374422528,43.8,2501.0,389496,2025-04-24 19:11:29,6
8,71.8,199212,6044798976,2377723904,31.2,2501.0,389570,2025-04-24 19:11:30,6
8,71.8,199224,6046437376,2378395648,40.5,2501.0,389624,2025-04-24 19:11:32,6
8,71.8,199241,6044991488,2377695232,27.0,2501.0,389642,2025-04-24 19:11:33,6
8,71.8,199249,6046363648,2376036352,31.6,2501.0,389669,2025-04-24 19:11:34,6
8,71.8,199255,6048690176,2374483968,31.6,2501.0,389683,2025-04-24 19:11:36,6
8,71.8,199263,6046474240,2375942144,31.8,2501.0,389709,2025-04-24 19:11:37,6
8,71.8,199278,6046191616,2376474624,57.7,2501.0,389765,2025-04-24 19:11:39,6
8,71.8,199287,6046638080,2375053312,38.3,2501.0,389786,2025-04-24 19:11:40,6
8,71.8,199297,6047551488,2375102464,36.7,2501.0,389814,2025-04-24 19:11:42,6
8,71.8,199310,6049157120,2373545984,34.0,2501.0,389841,2025-04-24 19:11:43,6
8,71.7,199317,6034759680,2388410368,36.1,2501.0,389863,2025-04-24 19:11:45,6
8,71.6,199323,6028562432,2394333184,45.1,2501.0,389888,2025-04-24 19:11:46,6
8,71.7,199336,6032625664,2396667904,69.9,2501.0,389931,2025-04-24 19:11:48,6
8,71.6,199372,6029824000,2394791936,54.0,2501.0,389997,2025-04-24 19:11:50,6
8,71.6,199389,6028750848,2393911296,30.3,2501.0,390028,2025-04-24 19:11:51,6
8,71.6,199403,6032097280,2390495232,36.2,2501.0,390062,2025-04-24 19:11:52,6
8,71.7,199410,6042787840,2380148736,36.8,2501.0,390077,2025-04-24 19:11:54,6
8,71.7,199431,6041272320,2381619200,29.2,2501.0,390114,2025-04-24 19:11:55,6
8,71.7,199440,6028857344,2393829376,33.6,2501.0,390137,2025-04-24 19:11:56,6
8,71.6,199451,6026985472,2395000832,62.7,2501.0,390181,2025-04-24 19:11:58,6
8,71.6,199475,6033027072,2391322624,39.4,2501.0,390211,2025-04-24 19:12:00,6
8,71.6,199498,6032146432,2390790144,39.6,2501.0,390256,2025-04-24 19:12:01,6
8,71.6,199514,6034554880,2385186816,37.0,2501.0,390301,2025-04-24 19:12:02,6
8,71.7,199519,6032850944,2400575488,29.4,2501.0,390313,2025-04-24 19:12:04,6
8,71.4,199531,6016278528,2411859968,59.4,2501.0,390348,2025-04-24 19:12:05,6
8,71.2,199537,6002843648,2418855936,44.5,2501.0,390371,2025-04-24 19:12:07,6
8,71.4,199553,6014017536,2408591360,52.0,2501.0,390403,2025-04-24 19:12:08,6
8,71.4,199562,6016847872,2406002688,43.8,2501.0,390422,2025-04-24 19:12:10,6
8,71.5,199575,6024130560,2400681984,39.9,2501.0,390446,2025-04-24 19:12:11,6
8,71.5,199592,6021369856,2401779712,42.0,2501.0,390464,2025-04-24 19:12:13,6
8,71.5,199603,6024351744,2398371840,36.6,2501.0,390495,2025-04-24 19:12:14,6
8,71.6,199621,6029611008,2389159936,65.5,2501.0,390526,2025-04-24 19:12:16,6
8,71.6,199627,6030524416,2392264704,36.5,2501.0,390551,2025-04-24 19:12:17,6
8,71.6,199645,6027411456,2396016640,56.0,2501.0,390614,2025-04-24 19:12:19,6
8,71.6,199703,6036627456,2384830464,51.7,2501.0,390700,2025-04-24 19:12:20,6
8,71.8,199722,6045020160,2377572352,37.0,2501.0,390745,2025-04-24 19:12:21,6
8,71.8,199726,6046367744,2376294400,30.8,2501.0,390753,2025-04-24 19:12:23,6
8,71.8,199739,6049021952,2373746688,40.0,2501.0,390785,2025-04-24 19:12:24,6
8,71.8,199768,6037770240,2386223104,56.5,2501.0,390838,2025-04-24 19:12:26,6
8,71.7,199775,6038564864,2384228352,49.3,2501.0,390864,2025-04-24 19:12:28,6
8,71.7,199799,6040629248,2382823424,54.8,2501.0,390902,2025-04-24 19:12:29,6
8,71.7,199811,6038482944,2386186240,47.9,2501.0,390942,2025-04-24 19:12:31,6
8,71.7,199826,6038138880,2385010688,43.8,2501.0,390977,2025-04-24 19:12:32,6
8,71.8,199846,6045155328,2377773056,59.5,2501.0,391021,2025-04-24 19:12:34,6
8,71.8,199858,6045011968,2377392128,44.4,2501.0,391045,2025-04-24 19:12:35,6
8,71.7,199870,6038429696,2384945152,43.6,2501.0,391065,2025-04-24 19:12:37,6
8,71.7,199875,6042329088,2380480512,65.3,2501.0,391078,2025-04-24 19:12:38,6
8,71.8,199889,6044790784,2375327744,48.4,2501.0,391097,2025-04-24 19:12:40,6
8,71.8,199896,6043398144,2379415552,38.6,2501.0,391126,2025-04-24 19:12:41,6
8,71.8,199910,6042374144,2380357632,50.0,2501.0,391160,2025-04-24 19:12:43,6
8,71.8,199916,6039728128,2383175680,35.3,2501.0,391174,2025-04-24 19:12:44,6
8,71.7,199924,6041759744,2381258752,60.0,2501.0,391201,2025-04-24 19:12:46,6
8,71.6,199941,6033477632,2389622784,38.0,2501.0,391235,2025-04-24 19:12:47,6
8,71.7,199989,6038228992,2384359424,64.8,2501.0,391324,2025-04-24 19:12:49,6
8,71.7,200045,6041341952,2381103104,50.6,2501.0,391410,2025-04-24 19:12:50,6
8,71.8,200078,6044622848,2378747904,61.5,2501.0,391466,2025-04-24 19:12:52,6
8,71.7,200086,6042583040,2380115968,59.4,2501.0,391492,2025-04-24 19:12:53,6
8,71.8,200097,6046257152,2376572928,45.4,2501.0,391513,2025-04-24 19:12:55,6
8,71.8,200120,6044528640,2385276928,56.4,2501.0,391564,2025-04-24 19:12:57,6
8,71.7,200144,6041526272,2381721600,58.5,2501.0,391614,2025-04-24 19:12:58,6
8,71.7,200167,6041133056,2382147584,41.9,2501.0,391669,2025-04-24 19:13:00,6
8,71.7,200187,6041178112,2377314304,44.2,2501.0,391708,2025-04-24 19:13:01,6
