cpu_percent,cpu_freq,rede_sent,ram_uso,cpu_ociosidade_dias,ram_percent,rede_recv,ram_livre,dataHora,maquinaId
15.7,2501.0,321439,7386939392,8,87.7,673209,1035169792,2025-04-25 14:04:39,4
70.8,2501.0,321462,7395606528,8,87.8,673252,1026883584,2025-04-25 14:04:41,4
36.4,2501.0,321466,7396745216,8,87.8,673276,976130048,2025-04-25 14:04:42,4
63.9,2501.0,321480,7459459072,8,88.6,673313,960491520,2025-04-25 14:04:44,4
75.8,2501.0,321506,7485997056,8,88.9,673356,928075776,2025-04-25 14:04:45,4
71.7,2501.0,321542,7499264000,8,89.1,673419,915341312,2025-04-25 14:04:47,4
42.6,2501.0,321569,7528411136,8,89.4,673484,911200256,2025-04-25 14:04:48,4
40.6,2501.0,321587,7511744512,8,89.2,673500,912613376,2025-04-25 14:04:49,4
34.6,2501.0,321595,7508217856,8,89.1,673522,911532032,2025-04-25 14:04:50,4
69.4,2501.0,321609,7546003456,8,89.6,673566,876531712,2025-04-25 14:04:52,4
72.2,2501.0,321632,7553335296,8,89.7,673608,858935296,2025-04-25 14:04:54,4
86.7,2501.0,321719,7578423296,8,90.0,673764,844591104,2025-04-25 14:04:57,4
83.3,2501.0,321743,7596670976,8,90.2,673809,825937920,2025-04-25 14:04:59,4
86.1,2501.0,321765,7596982272,8,90.2,673877,825434112,2025-04-25 14:05:01,4
77.0,2501.0,321796,7606587392,8,90.3,673949,817319936,2025-04-25 14:05:02,4
70.0,2501.0,321815,7610441728,8,90.4,673987,815316992,2025-04-25 14:05:04,4
89.1,2501.0,321831,7632863232,8,90.6,674019,790867968,2025-04-25 14:05:07,4
86.3,2501.0,321849,7680086016,8,91.2,674044,735670272,2025-04-25 14:05:09,4
89.0,2501.0,321859,7707697152,8,91.6,674093,706740224,2025-04-25 14:05:11,4
82.2,2501.0,321875,7725395968,8,91.7,674146,684802048,2025-04-25 14:05:13,4
81.3,2501.0,321881,7746629632,8,92.0,674157,668241920,2025-04-25 14:05:15,4
89.1,2501.0,321893,7753654272,8,92.1,674195,667561984,2025-04-25 14:05:17,4
