rede_sent,ram_percent,cpu_percent,ram_uso,rede_recv,cpu_ociosidade_dias,cpu_freq,ram_livre,dataHora,maquinaId
24774,78.2,35.9,6604963840,79380,0,2501.0,1810944000,2025-04-25 23:12:49,4
24774,78.7,42.1,6624821248,79384,0,2501.0,1798230016,2025-04-25 23:12:50,4
24774,78.7,26.1,6626521088,79384,0,2501.0,1797705728,2025-04-25 23:12:51,4
24774,78.8,23.2,6633553920,79385,0,2501.0,1789181952,2025-04-25 23:12:52,4
24774,78.8,28.5,6640836608,79386,0,2501.0,1781960704,2025-04-25 23:12:54,4
24776,78.9,19.5,6647799808,79392,0,2501.0,1775394816,2025-04-25 23:12:55,4
24776,78.9,27.8,6649171968,79392,0,2501.0,1773654016,2025-04-25 23:12:56,4
24776,79.0,24.5,6654812160,79392,0,2501.0,1767866368,2025-04-25 23:12:57,4
24776,79.1,23.0,6663344128,79392,0,2501.0,1759412224,2025-04-25 23:12:59,4
24776,79.1,43.8,6659047424,79392,0,2501.0,1763905536,2025-04-25 23:13:00,4
24776,79.1,26.5,6658715648,79392,0,2501.0,1759813632,2025-04-25 23:13:01,4
24776,79.0,22.3,6656307200,79396,0,2501.0,1765867520,2025-04-25 23:13:02,4
24780,79.1,33.8,6659989504,79398,0,2501.0,1757691904,2025-04-25 23:13:04,4
24782,79.1,53.9,6661505024,79400,0,2501.0,1760751616,2025-04-25 23:13:05,4
24783,79.4,60.3,6690652160,79408,0,2501.0,1730904064,2025-04-25 23:13:07,4
24784,79.6,43.4,6705152000,79434,0,2501.0,1714515968,2025-04-25 23:13:08,4
24814,79.5,59.4,6697836544,79439,0,2501.0,1726767104,2025-04-25 23:13:10,4
24815,79.7,22.5,6710407168,79444,0,2501.0,1712197632,2025-04-25 23:13:11,4
24817,79.7,19.9,6711263232,79452,0,2501.0,1711702016,2025-04-25 23:13:12,4
24819,79.7,27.0,6715105280,79455,0,2501.0,1707577344,2025-04-25 23:13:13,4
24820,79.7,28.1,6714982400,79458,0,2501.0,1707642880,2025-04-25 23:13:15,4
24823,79.8,25.2,6723158016,79463,0,2501.0,1699893248,2025-04-25 23:13:16,4
24849,79.7,32.1,6715289600,79479,0,2501.0,1707593728,2025-04-25 23:13:17,4
24858,79.7,42.5,6715092992,79490,0,2501.0,1707556864,2025-04-25 23:13:18,4
24858,79.8,29.3,6715727872,79490,0,2501.0,1709363200,2025-04-25 23:13:20,4
24858,79.6,23.2,6704349184,79494,0,2501.0,1719218176,2025-04-25 23:13:21,4
24859,79.2,43.4,6674173952,79502,0,2501.0,1748471808,2025-04-25 23:13:23,4
24860,79.3,33.9,6680420352,79506,0,2501.0,1741803520,2025-04-25 23:13:24,4
24912,79.6,77.7,6707900416,79584,0,2501.0,1702383616,2025-04-25 23:13:26,4
25046,80.2,91.8,6754045952,80458,0,2501.0,1668612096,2025-04-25 23:13:28,4
25060,80.2,53.6,6750781440,80497,0,2501.0,1666854912,2025-04-25 23:13:29,4
25139,80.3,64.2,6766657536,80635,0,2501.0,1654095872,2025-04-25 23:13:31,4
