ram_percent,cpu_percent,ram_livre,dataHora,maquinaId
88.5,14.2,966213632,2025-04-26 19:42:58,4
88.6,14.5,963502080,2025-04-26 19:42:59,4
88.6,13.7,957071360,2025-04-26 19:43:00,4
88.5,9.8,965349376,2025-04-26 19:43:01,4
88.6,9.5,958758912,2025-04-26 19:43:02,4
88.6,10.7,957194240,2025-04-26 19:43:03,4
88.6,8.9,962224128,2025-04-26 19:43:04,4
88.6,9.7,957976576,2025-04-26 19:43:05,4
88.6,27.6,963174400,2025-04-26 19:43:07,4
88.6,54.3,956252160,2025-04-26 19:43:08,4
88.5,24.8,970919936,2025-04-26 19:43:09,4
88.8,35.2,944746496,2025-04-26 19:43:10,4
88.8,14.9,946851840,2025-04-26 19:43:11,4
89.2,24.3,890376192,2025-04-26 19:43:12,4
89.4,64.0,892452864,2025-04-26 19:43:14,4
89.1,63.0,915197952,2025-04-26 19:43:15,4
89.4,40.6,889061376,2025-04-26 19:43:16,4
89.3,18.6,899239936,2025-04-26 19:43:17,4
89.1,55.1,913600512,2025-04-26 19:43:18,4
89.5,39.4,885133312,2025-04-26 19:43:19,4
89.5,50.9,885809152,2025-04-26 19:43:20,4
89.6,21.0,879124480,2025-04-26 19:43:21,4
89.6,31.4,874946560,2025-04-26 19:43:23,4
89.7,40.7,864129024,2025-04-26 19:43:24,4
89.8,29.7,857710592,2025-04-26 19:43:25,4
90.0,26.1,845688832,2025-04-26 19:43:26,4
90.1,30.5,834629632,2025-04-26 19:43:27,4
90.2,48.8,826093568,2025-04-26 19:43:29,4
89.8,70.7,852226048,2025-04-26 19:43:30,4
89.8,47.7,863391744,2025-04-26 19:43:31,4
89.4,64.0,889667584,2025-04-26 19:43:32,4
89.0,80.0,923799552,2025-04-26 19:43:34,4
89.3,100.0,893698048,2025-04-26 19:43:35,4
89.0,100.0,926453760,2025-04-26 19:43:36,4
89.2,85.4,904826880,2025-04-26 19:43:37,4
89.8,99.8,871313408,2025-04-26 19:43:40,4
89.8,100.0,922566656,2025-04-26 19:43:42,4
88.8,100.0,944697344,2025-04-26 19:43:43,4
89.0,100.0,925536256,2025-04-26 19:43:44,4
88.8,100.0,939474944,2025-04-26 19:43:46,4
88.7,100.0,948527104,2025-04-26 19:43:47,4
88.9,100.0,927715328,2025-04-26 19:43:49,4
89.4,100.0,896397312,2025-04-26 19:43:52,4
88.8,100.0,944697344,2025-04-26 19:43:54,4
89.1,80.8,916422656,2025-04-26 19:43:55,4
89.2,79.6,901492736,2025-04-26 19:43:56,4
89.2,81.9,909074432,2025-04-26 19:43:57,4
88.9,97.5,931385344,2025-04-26 19:43:58,4
89.0,80.4,927313920,2025-04-26 19:44:00,4
89.0,27.8,928243712,2025-04-26 19:44:01,4
89.0,17.0,930283520,2025-04-26 19:44:02,4
89.0,15.9,933605376,2025-04-26 19:44:03,4
89.0,31.2,930213888,2025-04-26 19:44:04,4
89.0,85.7,876867584,2025-04-26 19:44:06,4
89.7,100.0,854269952,2025-04-26 19:44:08,4
90.4,96.6,806563840,2025-04-26 19:44:09,4
89.5,90.4,875343872,2025-04-26 19:44:10,4
89.4,100.0,916897792,2025-04-26 19:44:12,4
89.2,99.6,905875456,2025-04-26 19:44:13,4
89.4,100.0,888442880,2025-04-26 19:44:15,4
89.3,75.8,900935680,2025-04-26 19:44:16,4
89.5,24.7,880726016,2025-04-26 19:44:17,4
90.0,45.7,840065024,2025-04-26 19:44:18,4
90.6,51.3,794636288,2025-04-26 19:44:19,4
90.7,35.3,770514944,2025-04-26 19:44:20,4
91.3,65.3,736436224,2025-04-26 19:44:21,4
91.4,99.0,723767296,2025-04-26 19:44:22,4
90.6,35.3,790978560,2025-04-26 19:44:24,4
91.0,47.5,757817344,2025-04-26 19:44:25,4
89.2,51.2,913338368,2025-04-26 19:44:26,4
89.7,37.1,871284736,2025-04-26 19:44:27,4
89.5,26.1,883179520,2025-04-26 19:44:28,4
90.0,22.9,846880768,2025-04-26 19:44:29,4
89.8,48.8,858464256,2025-04-26 19:44:30,4
88.8,45.9,945512448,2025-04-26 19:44:31,4
88.8,30.4,946135040,2025-04-26 19:44:33,4
88.8,69.2,940883968,2025-04-26 19:44:34,4
88.9,36.2,938078208,2025-04-26 19:44:35,4
88.9,32.6,938319872,2025-04-26 19:44:36,4
88.9,33.7,933756928,2025-04-26 19:44:37,4
88.9,20.2,936681472,2025-04-26 19:44:39,4
88.9,70.9,935636992,2025-04-26 19:44:40,4
88.9,54.7,932909056,2025-04-26 19:44:41,4
88.9,65.7,977604608,2025-04-26 19:44:43,4
88.6,23.4,964263936,2025-04-26 19:44:44,4
88.5,26.4,965832704,2025-04-26 19:44:45,4
88.5,27.8,973762560,2025-04-26 19:44:46,4
88.5,26.9,968232960,2025-04-26 19:44:47,4
88.6,26.0,964689920,2025-04-26 19:44:48,4
88.6,23.1,962465792,2025-04-26 19:44:49,4
88.6,24.1,956989440,2025-04-26 19:44:50,4
88.6,16.6,957857792,2025-04-26 19:44:51,4
88.6,28.2,957927424,2025-04-26 19:44:53,4
88.5,40.1,962473984,2025-04-26 19:44:54,4
88.5,21.5,967716864,2025-04-26 19:44:55,4
88.2,21.0,992534528,2025-04-26 19:44:56,4
87.8,18.2,1026330624,2025-04-26 19:44:57,4
87.9,26.5,1022857216,2025-04-26 19:44:58,4
87.9,24.9,1020841984,2025-04-26 19:44:59,4
87.9,31.0,1017794560,2025-04-26 19:45:00,4
