cpu_percent,cpu_freq,ram_percent,dataHora,maquinaId
24.9,1700.0,84.2,2025-04-26 22:20:53,4
15.7,1700.0,84.2,2025-04-26 22:20:54,4
36.9,1700.0,84.3,2025-04-26 22:20:55,4
38.7,1700.0,84.3,2025-04-26 22:20:56,4
71.8,1700.0,84.5,2025-04-26 22:20:57,4
53.4,1700.0,84.6,2025-04-26 22:20:58,4
44.1,1700.0,84.7,2025-04-26 22:20:59,4
23.1,1700.0,84.8,2025-04-26 22:21:00,4
14.9,1700.0,84.9,2025-04-26 22:21:02,4
39.3,1700.0,85.0,2025-04-26 22:21:03,4
48.6,1700.0,85.0,2025-04-26 22:21:04,4
48.6,1700.0,85.1,2025-04-26 22:21:05,4
55.3,1700.0,85.0,2025-04-26 22:21:06,4
47.6,1700.0,85.0,2025-04-26 22:21:07,4
56.0,1700.0,84.9,2025-04-26 22:21:09,4
53.8,1700.0,84.9,2025-04-26 22:21:10,4
23.3,1700.0,84.9,2025-04-26 22:21:11,4
31.0,1700.0,84.9,2025-04-26 22:21:12,4
29.8,1700.0,84.8,2025-04-26 22:21:13,4
36.5,1700.0,84.8,2025-04-26 22:21:14,4
51.3,1700.0,84.8,2025-04-26 22:21:15,4
42.8,1700.0,84.9,2025-04-26 22:21:16,4
56.4,1700.0,84.9,2025-04-26 22:21:17,4
50.6,1700.0,85.0,2025-04-26 22:21:18,4
45.4,1700.0,84.8,2025-04-26 22:21:19,4
43.6,1700.0,84.7,2025-04-26 22:21:21,4
32.1,1700.0,85.1,2025-04-26 22:21:22,4
24.0,1700.0,84.7,2025-04-26 22:21:23,4
34.1,1700.0,84.7,2025-04-26 22:21:24,4
41.6,1700.0,84.7,2025-04-26 22:21:25,4
50.4,1700.0,84.6,2025-04-26 22:21:26,4
47.5,1700.0,85.1,2025-04-26 22:21:27,4
58.0,1700.0,84.6,2025-04-26 22:21:28,4
50.4,1700.0,84.6,2025-04-26 22:21:29,4
28.9,1700.0,84.7,2025-04-26 22:21:31,4
25.3,1700.0,84.7,2025-04-26 22:21:32,4
34.6,1700.0,85.1,2025-04-26 22:21:33,4
35.3,1700.0,84.7,2025-04-26 22:21:34,4
49.8,1700.0,84.7,2025-04-26 22:21:35,4
51.1,1700.0,84.7,2025-04-26 22:21:36,4
42.0,1700.0,84.7,2025-04-26 22:21:37,4
56.0,1700.0,84.7,2025-04-26 22:21:38,4
44.3,1700.0,84.7,2025-04-26 22:21:39,4
40.1,1700.0,84.6,2025-04-26 22:21:40,4
28.1,1700.0,84.7,2025-04-26 22:21:42,4
17.3,1700.0,84.8,2025-04-26 22:21:45,4
30.4,1700.0,85.1,2025-04-26 22:21:46,4
26.0,1700.0,85.1,2025-04-26 22:21:47,4
32.2,1700.0,85.0,2025-04-26 22:21:48,4
36.2,1700.0,85.0,2025-04-26 22:21:50,4
47.5,1700.0,85.1,2025-04-26 22:21:51,4
20.4,1700.0,85.0,2025-04-26 22:21:52,4
27.1,1700.0,85.1,2025-04-26 22:21:53,4
20.4,1700.0,85.0,2025-04-26 22:21:54,4
37.6,1700.0,84.7,2025-04-26 22:21:55,4
33.7,1700.0,84.7,2025-04-26 22:21:56,4
25.7,1700.0,84.9,2025-04-26 22:21:57,4
22.5,1700.0,84.9,2025-04-26 22:21:58,4
21.5,1700.0,84.8,2025-04-26 22:22:00,4
21.5,1700.0,84.6,2025-04-26 22:22:03,4
20.0,1700.0,84.6,2025-04-26 22:22:04,4
33.2,1700.0,84.6,2025-04-26 22:22:05,4
30.2,1700.0,84.6,2025-04-26 22:22:06,4
27.8,1700.0,84.6,2025-04-26 22:22:07,4
48.3,1700.0,84.6,2025-04-26 22:22:08,4
35.7,1700.0,84.5,2025-04-26 22:22:10,4
17.0,1700.0,84.5,2025-04-26 22:22:12,4
21.8,1700.0,84.6,2025-04-26 22:22:13,4
19.1,1700.0,84.9,2025-04-26 22:22:14,4
36.5,1700.0,84.5,2025-04-26 22:22:16,4
37.3,1700.0,84.5,2025-04-26 22:22:17,4
21.9,1700.0,84.5,2025-04-26 22:22:18,4
42.6,1700.0,84.7,2025-04-26 22:22:19,4
63.5,1700.0,84.3,2025-04-26 22:22:20,4
48.6,1700.0,83.2,2025-04-26 22:22:21,4
