nome,cpu%,ram%,status,dataHora
System Idle Process,768.9,0.0,TIME_WAIT,2025-04-27_16-29-04
System,0.0,0.0,NONE,2025-04-27_16-29-04
SEM_NOME,0.0,0.51,NONE,2025-04-27_16-29-04
Registry,0.0,0.15,NONE,2025-04-27_16-29-04
smss.exe,0.0,0.0,NONE,2025-04-27_16-29-04
csrss.exe,0.0,0.03,NONE,2025-04-27_16-29-05
svchost.exe,0.0,3.94,NONE,2025-04-27_16-29-05
AcerSense.exe,0.0,1.87,NONE,2025-04-27_16-29-05
RstMwService.exe,0.0,0.0,NONE,2025-04-27_16-29-05
wininit.exe,0.0,0.0,LISTEN,2025-04-27_16-29-05
winlogon.exe,0.0,0.01,NONE,2025-04-27_16-29-05
Photos.exe,0.0,0.42,NONE,2025-04-27_16-29-05
services.exe,0.0,0.07,LISTEN,2025-04-27_16-29-05
LsaIso.exe,0.0,0.02,NONE,2025-04-27_16-29-05
lsass.exe,0.0,0.14,LISTEN,2025-04-27_16-29-05
conhost.exe,0.0,0.08,NONE,2025-04-27_16-29-05
fontdrvhost.exe,0.0,0.01,NONE,2025-04-27_16-29-05
WUDFHost.exe,0.0,0.01,ESTABLISHED,2025-04-27_16-29-06
dwm.exe,71.3,1.06,NONE,2025-04-27_16-29-06
ShellExperienceHost.exe,0.0,0.0,NONE,2025-04-27_16-29-06
jucheck.exe,0.0,0.03,NONE,2025-04-27_16-29-06
WindowsTerminal.exe,0.0,0.59,NONE,2025-04-27_16-29-06
msedge.exe,0.0,14.57,NONE,2025-04-27_16-29-06
IntelCpHDCPSvc.exe,0.0,0.0,NONE,2025-04-27_16-29-07
Discord.exe,0.0,1.69,NONE,2025-04-27_16-29-07
Code.exe,146.6,10.46,NONE,2025-04-27_16-29-07
explorer.exe,0.0,1.45,NONE,2025-04-27_16-29-07
crashpad_handler.exe,0.0,0.01,NONE,2025-04-27_16-29-08
MemCompression,0.0,6.39,NONE,2025-04-27_16-29-08
