TIPO;EMPRESA;MODELO;QTD.;VALOR_UN;VALOR_TOTAL;ENDERECO;DATA_HORA
Pedido;VOLKSWAGEN BRASIL LTDA;S7-1200 F;24;6300.00;151200.00;Rua XV de Novembro, 500 - Curitiba (PR);2025-05-17 09:22:36
Pedido;LENOVO TECNOLOGIA BRASIL LTDA;S7-400H;60;95000.00;5700000.00;Avenida Paulista, 1000 - São Paulo (SP);2025-05-14 11:28:20
Pedido;da Mata Ltda.;S7-1500 T;32;17500.00;560000.00;Condomínio Pereira, 79, Varzea Da Palma, 95334280 Borges do Amparo / RJ;2025-05-10 14:20:53
Pedido;Cassiano;S7-1200 F;35;6300.00;220500.00;Sítio Nunes, 4, São Geraldo, 59026-996 Jesus / PE;2025-05-27 08:40:33
Pedido;Cardoso - EI;S7-400H;48;95000.00;4560000.00;Sítio Correia, 78, Vila Sesc, 48194842 Sales de Azevedo / TO;2025-05-01 15:24:29
Pedido;Costa;S7-400H;68;95000.00;6460000.00;Praça Cauê Ramos, 726, Guaratã, 35007297 Brito / SC;2025-05-20 09:32:15
Pedido;Pereira Caldeira S.A.;S7-1500 T;15;17500.00;262500.00;Área Garcia, 69, Canadá, 32450-459 Correia da Serra / SP;2025-05-12 12:09:45
Pedido;Leão Rios S/A;ET 200SP;18;5800.00;104400.00;Sítio Cirino, 73, Oeste, 59146075 Rocha / PE;2025-05-29 13:07:24
Pedido;Sales;LOGO!;19;1150.00;21850.00;Travessa Ana Beatriz Viana, 67, Universo, 31955352 Lima / PB;2025-05-06 16:41:56
Pedido;da Mata;S7-1500 PN;11;8200.00;90200.00;Trecho Freitas, 53, Candelaria, 19460222 Vargas Alegre / ES;2025-05-31 14:23:59
Pedido;Sales e Filhos;LOGO!;64;1150.00;73600.00;Estação de Barbosa, Aeroporto, 93856990 Fernandes / MG;2025-06-01 14:25:12
Pedido;Sousa S/A;S7-1500 T;12;17500.00;210000.00;Setor Farias, 2, Pindura Saia, 94226-659 Fernandes / AC;2025-05-07 18:27:00
Pedido;Machado Cavalcante Ltda.;S7-1500;44;8200.00;360800.00;Núcleo Nicolas Fernandes, 9, Taquaril, 91563-517 Pires do Oeste / SC;2025-05-20 08:20:45
Pedido;Duarte Rocha - ME;S7-1500;51;8200.00;418200.00;Distrito Kamilly Siqueira, 1, Jaraguá, 17058943 Viana do Campo / MG;2025-05-04 10:10:05
Pedido;Duarte;S7-1500 PN;8;8200.00;65600.00;Quadra Aparecida, 164, Cidade Nova, 35154802 Santos / MA;2025-05-17 13:37:45
Pedido;Ribeiro Melo e Filhos;LOGO!;20;1150.00;23000.00;Lagoa de Teixeira, 7, Aarão Reis, 98719-660 Melo do Norte / RN;2025-05-01 11:59:15
Pedido;Teixeira S.A.;ET 200SP;62;5800.00;359600.00;Aeroporto Monteiro, 2, Floresta, 86179-191 Nunes Alegre / AM;2025-05-15 08:50:24
Pedido;Carvalho;S7-1500 R/H;16;45000.00;720000.00;Viela Rhavi Rocha, 6, Santa Inês, 32959-135 Silveira / TO;2025-05-07 10:26:12
Pedido;Vieira;S7-1500 R/H;19;45000.00;855000.00;Quadra Maria Fernanda Viana, 49, Vila Ecológica, 70724019 da Mata de Cunha / MG;2025-05-09 17:27:45
Pedido;Silveira Vargas - ME;S7-1500 PN;65;8200.00;533000.00;Residencial Ribeiro, 20, Caetano Furquim, 46123544 Sampaio Paulista / TO;2025-05-11 14:25:31
Pedido;da Paz Siqueira e Filhos;S7-1500 T;49;17500.00;857500.00;Residencial Teixeira, 17, Flavio De Oliveira, 82126162 Pires da Prata / PA;2025-05-31 09:27:21
Pedido;Aparecida e Filhos;S7-400H;68;95000.00;6460000.00;Colônia Farias, 3, Vila Petropolis, 42442-698 Fonseca do Oeste / MT;2025-05-16 08:52:44
Pedido;Cavalcante - ME;LOGO!;46;1150.00;52900.00;Esplanada de Rodrigues, 26, Alto Caiçaras, 55936-272 Pastor Grande / DF;2025-05-22 09:44:38
Pedido;Melo Lima S.A.;S7-200 SMART;41;1400.00;57400.00;Lagoa Isabelly Melo, 38, Liberdade, 69958727 Vieira / MA;2025-05-16 09:05:57
Pedido;Moreira;S7-1500;10;8200.00;82000.00;Vila Luiz Henrique da Rosa, 9, Vila Havaí, 36839-489 Fogaça / AC;2025-05-23 17:24:38
Pedido;Moreira S.A.;S7-1500 T;21;17500.00;367500.00;Fazenda Monteiro, 3, Marieta 3ª Seção, 82774607 da Conceição do Amparo / BA;2025-05-09 12:19:06
Pedido;Lima;LOGO!;59;1150.00;67850.00;Esplanada de Mendes, 16, São Paulo, 46972-043 Oliveira de Fernandes / PE;2025-06-03 16:19:05
Pedido;Santos;LOGO!;57;1150.00;65550.00;Conjunto Novaes, 681, Palmares, 91237598 Pires Verde / DF;2025-05-23 10:54:20
Pedido;Fernandes Castro e Filhos;S7-1500;11;8200.00;90200.00;Fazenda Luiza Silva, 48, São Pedro, 71650636 da Rosa / CE;2025-05-10 08:47:17
Pedido;Nunes S/A;S7-1500 PN;33;8200.00;270600.00;Fazenda Ian Rezende, 50, Caetano Furquim, 60310-476 Leão / AC;2025-05-15 13:07:40
Pedido;Monteiro Cirino e Filhos;ET 200SP;37;5800.00;214600.00;Parque Luiz Henrique Aparecida, 98, Santa Amelia, 24712608 Moraes / AL;2025-05-02 17:00:36
Pedido;Mendes Ltda.;S7-1200 F;40;6300.00;252000.00;Condomínio de Freitas, 98, Jaqueline, 50993500 Campos do Oeste / GO;2025-05-14 10:08:25
Pedido;Alves Sales - ME;S7-1500 PN;54;8200.00;442800.00;Residencial Moura, 74, Vila Suzana Primeira Seção, 45693544 Castro da Praia / AL;2025-05-30 17:20:53
Pedido;da Costa;S7-1500 PN;46;8200.00;377200.00;Esplanada Monteiro, 324, Vila Aeroporto Jaraguá, 69329742 da Mota / SC;2025-05-15 12:02:36
Cancelamento;Fonseca Castro Ltda.;S7-1500 PN;18;8200.00;147600.00;Viela Marques, 540, Minas Brasil, 80881-648 Lopes / PI;2025-05-17 11:25:49
Pedido;Pires;LOGO!;11;1150.00;12650.00;Passarela de Castro, 62, Funcionários, 77391652 Ribeiro de Brito / ES;2025-05-10 12:11:21
Pedido;Oliveira;S7-400H;31;95000.00;2945000.00;Estrada Yasmin Cardoso, 472, Vila Oeste, 71358-517 Oliveira da Serra / AM;2025-05-29 09:51:25
Pedido;da Rosa Siqueira - EI;S7-1200;53;3950.00;209350.00;Fazenda de Cavalcante, Jardim São José, 62072-861 Almeida / RR;2025-05-30 18:09:01
Pedido;Dias;S7-1500 PN;29;8200.00;237800.00;Condomínio de Nunes, 25, Conjunto Taquaril, 75419663 Castro da Serra / BA;2025-05-12 09:10:11
Pedido;da Mata Gonçalves S.A.;S7-400H;54;95000.00;5130000.00;Vereda de Cavalcante, 864, Morro Dos Macacos, 70702588 da Rosa / AP;2025-05-30 11:57:30
Pedido;Farias;S7-1200 F;49;6300.00;308700.00;Viela Oliver Pereira, 91, Tirol, 32701702 Campos de Siqueira / SP;2025-05-30 12:46:45
Pedido;Cirino;ET 200SP;25;5800.00;145000.00;Parque Emanuelly Pastor, 2, Fernão Dias, 59000133 Câmara das Flores / RO;2025-05-11 12:47:01
Pedido;Ramos Cunha S/A;S7-400H;37;95000.00;3515000.00;Praia de Correia, 12, Cônego Pinheiro 2ª Seção, 64406-017 Moura de Barbosa / RS;2025-06-01 10:35:45
Cancelamento;Rios;LOGO!;19;1150.00;21850.00;Esplanada Martins, Nossa Senhora Da Conceição, 82968-885 Cardoso do Galho / BA;2025-06-01 16:23:40
Pedido;Jesus;S7-1500;46;8200.00;377200.00;Vila Calebe Araújo, 95, São Jorge 1ª Seção, 46356-011 Martins / PI;2025-05-07 15:27:01
Pedido;Porto - ME;S7-1500 PN;38;8200.00;311600.00;Praça Rodrigues, 78, Vila União, 92400099 Pacheco de Goiás / RJ;2025-05-19 11:33:26
Pedido;Vasconcelos Aparecida - EI;LOGO!;14;1150.00;16100.00;Chácara de Sá, Solimoes, 73142-789 Lopes / AL;2025-05-18 08:14:28
Pedido;Peixoto;S7-1500 T;43;17500.00;752500.00;Passarela Viana, 8, São Francisco Das Chagas, 41855781 da Rosa de Goiás / SC;2025-05-16 17:42:34
Pedido;Nascimento e Filhos;S7-200 SMART;58;1400.00;81200.00;Trecho de Duarte, 42, Santa Monica, 95376007 Mendes do Amparo / GO;2025-05-22 14:18:47
Pedido;Martins Ltda.;S7-400H;19;95000.00;1805000.00;Trevo de Monteiro, 1, Nova Pampulha, 31097-020 Camargo de Moreira / SE;2025-05-04 15:40:29
Pedido;Macedo Cunha e Filhos;S7-400H;56;95000.00;5320000.00;Praça Borges, 2, Ouro Minas, 74245-954 Andrade / MS;2025-05-21 11:53:27
Pedido;Sampaio;LOGO!;32;1150.00;36800.00;Pátio Melissa Novaes, 5, Pindorama, 89480-284 Moraes do Galho / PI;2025-06-03 15:25:19
Pedido;Sá;LOGO!;53;1150.00;60950.00;Estrada de Moura, 46, Lagoinha, 22411349 Jesus / PI;2025-05-21 08:59:47
Pedido;Fernandes;S7-200 SMART;37;1400.00;51800.00;Favela Henry Porto, 46, Lagoinha Leblon, 03630-664 Nunes / MS;2025-05-17 14:31:40
Pedido;Cunha;S7-1200 F;49;6300.00;308700.00;Aeroporto Alana Garcia, 66, Urca, 84508-215 Nascimento Alegre / RN;2025-05-21 09:08:01
Pedido;Guerra;S7-1500;54;8200.00;442800.00;Sítio Sá, Céu Azul, 58808239 Martins / PE;2025-05-01 08:42:07
Pedido;Porto e Filhos;S7-400H;40;95000.00;3800000.00;Favela de Cunha, 413, Horto, 88204736 Leão / BA;2025-05-19 12:44:44
Pedido;Ramos - ME;S7-1500 R/H;11;45000.00;495000.00;Setor Peixoto, Capitão Eduardo, 13363344 da Rosa / PA;2025-06-01 11:58:23
Pedido;Pastor S.A.;S7-1500 PN;34;8200.00;278800.00;Residencial de Oliveira, Marçola, 39608304 da Rocha da Serra / RS;2025-05-04 18:56:59
Pedido;Nascimento Ribeiro - ME;S7-1200 F;45;6300.00;283500.00;Rua Milena Costela, 63, Palmeiras, 92629513 Ribeiro / MG;2025-05-05 11:05:30
Pedido;Cardoso Ltda.;S7-1200;38;3950.00;150100.00;Travessa Vasconcelos, São Bernardo, 18779-961 Rios / RS;2025-05-10 12:40:18
Pedido;Porto;S7-1500;43;8200.00;352600.00;Campo da Mota, 2, Pilar, 40461-588 Cirino da Prata / PB;2025-05-02 08:37:37
Pedido;Fogaça;S7-1200;61;3950.00;240950.00;Condomínio de Cirino, Conjunto Santa Maria, 79456430 Pereira / RJ;2025-05-26 16:39:10
Pedido;Gomes;S7-400H;22;95000.00;2090000.00;Morro Farias, 133, Novo Tupi, 85930921 da Cruz / MT;2025-05-27 17:33:22
Pedido;Teixeira - ME;S7-400H;35;95000.00;3325000.00;Praia Ravy Sousa, 75, Bairro Das Indústrias Ii, 93513329 Castro Grande / ES;2025-05-20 09:30:38
Pedido;Lima Melo - EI;S7-400H;22;95000.00;2090000.00;Alameda de Rodrigues, Nova Esperança, 32621993 Andrade da Praia / PB;2025-06-03 16:10:52
Pedido;Costela;ET 200SP;36;5800.00;208800.00;Área Pedro Lucas Porto, Maria Helena, 23042773 Ribeiro / PB;2025-05-09 11:48:45
Pedido;da Cunha S.A.;ET 200SP;44;5800.00;255200.00;Lagoa Mariana Costela, 299, Vila Paraíso, 36812976 Rezende de Melo / GO;2025-05-06 10:03:25
Pedido;da Mota;S7-1500 R/H;27;45000.00;1215000.00;Viela Mirella Rocha, 78, Vila Boa Vista, 54693-404 Barbosa / SE;2025-05-05 08:42:26
Pedido;Rocha;S7-1500;64;8200.00;524800.00;Esplanada de Leão, 4, São Luiz, 19611-030 Jesus de Goiás / SP;2025-05-06 18:00:38
Pedido;Pereira;S7-400H;47;95000.00;4465000.00;Alameda Campos, 25, Vila Antena, 77293-829 Novais / PI;2025-05-24 16:37:52
Pedido;Moura;S7-1500 T;20;17500.00;350000.00;Pátio Gabriela Abreu, 44, Vila Madre Gertrudes 2ª Seção, 87287328 Rodrigues / PB;2025-05-30 15:48:34
Pedido;Abreu;ET 200SP;40;5800.00;232000.00;Trecho Siqueira, 21, Vila Pinho, 70916-403 das Neves / SP;2025-05-10 09:09:54
Pedido;Andrade Ltda.;S7-1500 PN;66;8200.00;541200.00;Morro Cirino, Nova Cachoeirinha, 42332202 Costela / BA;2025-06-02 10:17:15
Pedido;Pacheco;S7-1500;37;8200.00;303400.00;Lago de Câmara, 29, São Paulo, 82727-452 Andrade / SP;2025-05-31 10:31:25
Pedido;Pastor Costa - ME;S7-1500 T;12;17500.00;210000.00;Vereda Sousa, 49, São Sebastião, 08041544 da Costa / AP;2025-05-06 15:10:22
Pedido;Rezende;ET 200SP;25;5800.00;145000.00;Lago Erick Barros, 4, Castelo, 16452292 Guerra do Sul / ES;2025-05-12 13:38:24
Pedido;Cavalcanti Moreira e Filhos;S7-200 SMART;68;1400.00;95200.00;Lago Davi Lucas Marques, 85, Santa Efigênia, 37489-783 Rocha de Ramos / PA;2025-05-15 10:22:56
Pedido;Garcia;ET 200SP;65;5800.00;377000.00;Largo Pimenta, 51, Granja De Freitas, 37805-131 Marques / MA;2025-05-13 12:08:50
Pedido;Ramos e Filhos;S7-1500 T;11;17500.00;192500.00;Sítio Moreira, 949, Vila Piratininga Venda Nova, 58359819 Martins de Abreu / PE;2025-05-05 15:54:15
Pedido;Dias S/A;S7-400H;34;95000.00;3230000.00;Ladeira Alves, 3, Vila Santa Monica 2ª Seção, 01622793 Novais dos Dourados / RS;2025-05-09 08:32:36
Pedido;Abreu - ME;S7-1200;22;3950.00;86900.00;Vereda Macedo, 12, Santa Tereza, 83898118 Garcia da Serra / SP;2025-05-20 10:04:59
Pedido;Pimenta;LOGO!;45;1150.00;51750.00;Sítio da Luz, 12, Bernadete, 52147249 Campos / RJ;2025-05-20 16:16:33
Pedido;Vieira Marques S/A;S7-1500 R/H;62;45000.00;2790000.00;Residencial de Ferreira, 98, Conjunto Jatoba, 07205-892 Camargo / CE;2025-05-30 17:28:18
Pedido;Moreira Macedo Ltda.;S7-1500 PN;55;8200.00;451000.00;Travessa de Teixeira, 38, Pilar, 75180002 Rezende / BA;2025-05-18 13:25:00
Pedido;Câmara;LOGO!;17;1150.00;19550.00;Lagoa Ferreira, Cinquentenário, 11409059 Albuquerque Grande / BA;2025-05-20 10:42:06
Pedido;Teixeira;S7-1500 R/H;14;45000.00;630000.00;Estrada de Sales, 59, Vila Barragem Santa Lúcia, 72535-486 Dias das Flores / CE;2025-05-11 09:27:18
Pedido;Sales Jesus S/A;ET 200SP;53;5800.00;307400.00;Loteamento Anthony Gabriel Pimenta, 4, Conjunto Capitão Eduardo, 70869405 Rezende / RO;2025-06-03 14:53:55
Pedido;Gomes Rocha - EI;S7-400H;18;95000.00;1710000.00;Parque de da Cruz, 89, Jardim Vitoria, 42260-206 Aragão / TO;2025-05-27 18:48:07
